tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
34	BOI046	94.143	98.564	4.421	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	5	è molto:: funzionale: pulita: (.) precisa:	è molto:: funzionale: pulita: {P} precisa:	è molto funzionale pulita {P} precisa
35	BOI046	100.01	101.15	1.14	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	pretenziosa,	pretenziosa,	pretenziosa
36	BOI046	102.81	104.242	1.432	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	sì (lo) diciamo una bella città	sì (lo) diciamo una bella città	sì lo diciamo una bella città
37	BOR009	104.242	105.567	1.325	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	quindi: un: [mh]	quindi: un: [mh]	quindi un mh
38	BOI046	105.375	106.775	1.4	True	0	0	0	0	0	0	False	False	False	True	True	37=0.192,40+39=0.015	0	0	0	6	[non la migliore ma una bella	[non la migliore ma una bella	non la migliore ma una bella
39	BOR009	106.469	108.03	1.561	True	0	0	0	0	0	0	False	False	False	False	True	38+40=0.015,40+41=0.118	0	1	0	0	((ride))	{ride}	{ride}
40	BOI045	106.76	108.086	1.326	True	0	0	0	0	0	0	False	False	False	False	True	38+39=0.015,39+41=0.118	0	1	0	0	((ride))	{ride}	{ride}
41	BOI046	107.912	108.399	0.487	True	0	0	0	0	0	0	False	False	False	False	True	39+40=0.118	0	0	0	3	°la migliore no°	°la migliore no°	la migliore no
42	BOR009	108.399	110.547	2.148	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	beh se doveste migliorare qualcosa,	beh se doveste migliorare qualcosa,	beh se doveste migliorare qualcosa
43	BOR009	111.099	113.377	2.278	True	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	6	quindi li~ il costo della vita ((ride))	quindi li~ il costo della vita {ride}	quindi li~ il costo della vita {ride}
44	BOI045	113.676	116.315	2.639	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	il:: sì il costo della vita,	il:: sì il costo della vita,	il sì il costo della vita
45	BOI045	116.921	121.012	4.091	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	8	e magari anche:: l'accessibilità dei servizi c(io)è nel senso:	e magari anche:: l'accessibilità dei servizi c(io)è nel senso:	e magari anche l'accessibilità dei servizi cioè nel senso
46	BOI045	121.962	124.682	2.72	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	avere::: >io ho d~< io ho due figli	avere::: >io ho d~< io ho due figli	avere io ho d~ io ho due figli
47	BOI045	125.737	129.898	4.161	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	1	12	e:: (.) c'è tanto però è a~ è ancora molto difficile nel senso che	e:: {P} c'è tanto però è a~ è ancora molto difficile nel senso che	e {P} c'è tanto però è a~ è ancora molto difficile nel senso che
48	BOI045	130.374	136.626	6.252	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	23	io ho fatto il diploma iscrivere i miei figli a scuola: è stato abbastanza semplice col computer però mi rendo conto quando facciamo	io ho fatto il diploma iscrivere i miei figli a scuola: è stato abbastanza semplice col computer però mi rendo conto quando facciamo	io ho fatto il diploma iscrivere i miei figli a scuola è stato abbastanza semplice col computer però mi rendo conto quando facciamo
49	BOI045	137.224	142.336	5.112	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	13	quando abbiamo bisogno di certi tipi di servizi che è proprio difficile:: (.) accederci	quando abbiamo bisogno di certi tipi di servizi che è proprio difficile:: {P} accederci	quando abbiamo bisogno di certi tipi di servizi che è proprio difficile {P} accederci
50	BOI045	142.906	143.29	0.384	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	>diciamo<	>diciamo<	diciamo
51	BOR009	144.85	145.378	0.528	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	°okay°	°okay°	okay
52	BOI046	145.995	149.228	3.233	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	oddio io: forse migliorerei un po'::	oddio io: forse migliorerei un po'::	oddio io forse migliorerei un po'
53	BOI046	149.712	156.376	6.664	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	1	14	più dell'organizzazione della città (.) <e:h il modo di> confrontarsi con le persone nel senso che	più dell'organizzazione della città {P} <e:h il modo di> confrontarsi con le persone nel senso che	più dell'organizzazione della città {P} eh il modo di confrontarsi con le persone nel senso che
54	BOI046	157.401	164.374	6.973	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	1	19	diciamo che a volte si pretende tanto (.) non rendendosi conto che a v:~ mh ci sono tante e tante difficoltà	diciamo che a volte si pretende tanto {P} non rendendosi conto che a v:~ mh ci sono tante e tante difficoltà	diciamo che a volte si pretende tanto {P} non rendendosi conto che a v:~ mh ci sono tante e tante difficoltà
55	BOI046	164.713	178.279	13.566	True	0	0	1	0	0	0	False	False	False	False	False	_	3	0	0	48	anche nel nostro lavoro (.) il fatto di riuscire a fare determinate cose, e le persone n: ognuno >non dico le perso(ne) perchè forse< lo facciamo anche noi (.) rivolto in altri settori in altri lavori (.) a essere un po' più tranqui:lli un po' più rilassa:ti e meno tesi ecco	anche nel nostro lavoro {P} il fatto di riuscire a fare determinate cose, e le persone n: ognuno >non dico le perso(ne) perchè forse< lo facciamo anche noi {P} rivolto in altri settori in altri lavori {P} a essere un po' più tranqui:lli un po' più rilassa:ti e meno tesi ecco	anche nel nostro lavoro {P} il fatto di riuscire a fare determinate cose e le persone n ognuno non dico le persone perché forse lo facciamo anche noi {P} rivolto in altri settori in altri lavori {P} a essere un po' più tranquilli un po' più rilassati e meno tesi ecco
56	BOI046	179.119	184.015	4.896	True	0	0	1	0	0	0	False	False	False	False	False	_	0	0	0	12	>anche perchè< ho notato che si tende ad essere molto più portate:	>anche perchè< ho notato che si tende ad essere molto più portate:	anche perché ho notato che si tende ad essere molto più portate
57	BOI046	184.215	185.471	1.256	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	faccio un esempio stupido	faccio un esempio stupido	faccio un esempio stupido
58	BOI046	186.369	188.216	1.847	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	il bolognese tende a essere un po' più milanese	il bolognese tende a essere un po' più milanese	il bolognese tende a essere un po' più milanese
59	BOR009	188.44	190.161	1.721	True	0	0	0	0	0	0	False	False	False	False	True	60+61=1.047	0	1	0	0	((ride))	{ride}	{ride}
60	BOI045	189.035	190.102	1.067	True	0	0	0	0	0	0	False	False	False	False	True	59+61=1.047	0	1	0	0	((ride))	{ride}	{ride}
61	BOI046	189.055	192.05	2.995	True	0	0	0	0	0	0	False	False	False	False	True	59+60=1.047	1	0	0	12	ma non è milanese è bolognese (.) ed è giusto che sia così	ma non è milanese è bolognese {P} ed è giusto che sia così	ma non è milanese è bolognese {P} ed è giusto che sia così
62	BOI046	192.669	201.49	8.821	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	23	quindi come popolo come cultura >sono persone< molto intelligenti °però° un po' più tranquilli un po' [più rilass]a:ti molto meno pretese °più tranquilli°	quindi come popolo come cultura >sono persone< molto intelligenti °però° un po' più tranquilli un po' [più rilass]a:ti molto meno pretese °più tranquilli°	quindi come popolo come cultura sono persone molto intelligenti però un po' più tranquilli un po' più rilassati molto meno pretese più tranquilli
63	BOI045	197.435	198.744	1.309	True	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	1	[xxx] ((ride))	[xxx] {ride}	xxx {ride}
64	BOR009	202.514	203.951	1.437	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	okay >ho capito (capito)<	okay >ho capito (capito)<	okay ho capito capito
65	BOR009	204.327	208.277	3.95	True	0	0	0	0	0	0	False	False	False	False	False	_	2	0	0	7	e: m:h (.) tutti e due (.) autisti giusto	e: m:h {P} tutti e due {P} autisti giusto	e mh {P} tutti e due {P} autisti giusto
66	BOI045	208.319	208.688	0.369	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
67	BOR009	208.698	210.593	1.895	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[da::] da <quanto>?	[da::] da <quanto>?	da da quanto
68	BOI046	208.772	209.668	0.896	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[s::ì]	[s::ì]	sì
69	BOI045	210.789	212.813	2.024	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	da quattro anni siamo entrati insieme	da quattro anni siamo entrati insieme	da quattro anni siamo entrati insieme
70	BOI045	212.813	213.643	0.83	True	0	0	0	0	0	0	False	False	False	False	True	71=0.686	0	1	0	0	((ride))	{ride}	{ride}
71	BOR009	212.957	214.024	1.067	True	0	0	0	0	0	0	False	False	False	False	True	70=0.686	0	0	0	2	a::h okay	a::h okay	ah okay
72	BOR009	214.647	224.494	9.847	True	0	0	0	0	0	0	False	False	False	False	False	_	3	0	0	25	e: m:h (.) io poi non so bene come funzioni in realtà c(io)è voi (.) tipo le linee che guida:te venite assegna:ti: alla stessa linea: (.) o: m:h	e: m:h {P} io poi non so bene come funzioni in realtà c(io)è voi {P} tipo le linee che guida:te venite assegna:ti: alla stessa linea: {P} o: m:h	e mh {P} io poi non so bene come funzioni in realtà cioè voi {P} tipo le linee che guidate venite assegnati alla stessa linea {P} o mh
73	BOI045	224.774	229.817	5.043	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	10	abbiamo un turno mensile (.) che::: ti: dà una fascia oraria	abbiamo un turno mensile {P} che::: ti: dà una fascia oraria	abbiamo un turno mensile {P} che ti dà una fascia oraria
74	BOI045	230.139	239.795	9.656	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	25	poi a seconda delle patenti e delle abilitazioni che abbiamo >quindi< delle: (.) delle nostre: capacità e:::h ci ci danno ci assegnano un percorso da fare	poi a seconda delle patenti e delle abilitazioni che abbiamo >quindi< delle: {P} delle nostre: capacità e:::h ci ci danno ci assegnano un percorso da fare	poi a seconda delle patenti e delle abilitazioni che abbiamo quindi delle {P} delle nostre capacità eh ci ci danno ci assegnano un percorso da fare
75	BOI045	240.038	247.401	7.363	True	0	0	0	0	0	0	False	False	False	False	False	_	2	0	1	22	però non è che (.) non è che io sono l'autista del tredici o: e lui quello del venticinque (.) [og]ni mese cambia:: la turnazione	però non è che {P} non è che io sono l'autista del tredici o: e lui quello del venticinque {P} [og]ni mese cambia:: la turnazione	però non è che {P} non è che io sono l'autista del tredici o e lui quello del venticinque {P} ogni mese cambia la turnazione
76	BOI046	244.7	245.105	0.405	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[(non lo è)]	[(non lo è)]	non lo è
77	BOI045	247.836	250.474	2.638	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	5	facciamo sia (.) urba:no che extraurba:no	facciamo sia {P} urba:no che extraurba:no	facciamo sia {P} urbano che extraurbano
78	BOI045	250.865	257.131	6.266	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	17	alcuni di noi::: possono andare anche in montagna (.) noi due ad esempio possiamo andare in montagna volendo	alcuni di noi::: possono andare anche in montagna {P} noi due ad esempio possiamo andare in montagna volendo	alcuni di noi possono andare anche in montagna {P} noi due ad esempio possiamo andare in montagna volendo
79	BOI045	257.689	266.719	9.03	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	27	°e:: e basta diciamo° è un percorso formativo tu a~ entri qua:: entri in azienda che hai la patente per guidare solo gli autobus quelli corti diciamo	°e:: e basta diciamo° è un percorso formativo tu a~ entri qua:: entri in azienda che hai la patente per guidare solo gli autobus quelli corti diciamo	e e basta diciamo è un percorso formativo tu a~ entri qua entri in azienda che hai la patente per guidare solo gli autobus quelli corti diciamo
80	BOI045	267.225	274.715	7.49	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	24	poi impari a guidare gli snodati poi i filobus poi ti insegnano ad andare in montagna (.) in tre anni prendi tutte: le abilitazioni di[ciamo]	poi impari a guidare gli snodati poi i filobus poi ti insegnano ad andare in montagna {P} in tre anni prendi tutte: le abilitazioni di[ciamo]	poi impari a guidare gli snodati poi i filobus poi ti insegnano ad andare in montagna {P} in tre anni prendi tutte le abilitazioni diciamo
81	BOR009	274.397	276.181	1.784	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	[quindi voi] siete già: a:l top	[quindi voi] siete già: a:l top	quindi voi siete già al top
82	BOI045	276.206	276.517	0.311	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
83	BOR009	276.946	279.289	2.343	True	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	1	[okay] ((ride))	[okay] {ride}	okay {ride}
84	BOI046	276.946	281.459	4.513	True	0	0	0	0	0	0	False	False	False	False	True	83+85=2.045,86+87=0.818	1	2	0	10	[mh (.) non si direbbe ma lo sia(mo)] ((ride)) a vederci così ((ride))	[mh {P} non si direbbe ma lo sia(mo)] {ride} a vederci così {ride}	mh {P} non si direbbe ma lo siamo {ride} a vederci così {ride}
85	BOI045	277.244	279.735	2.491	True	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	1	[modestamente] ((ride))	[modestamente] {ride}	modestamente {ride}
86	BOR009	280.641	283.12	2.479	True	0	0	0	0	0	0	False	False	False	False	True	84+87=0.818	0	1	0	2	((ride)) vabbè buono	{ride} vabbè buono	{ride} vabbè buono
87	BOI045	280.641	282.128	1.487	True	0	0	0	0	0	0	False	False	False	False	True	84+86=0.818	0	1	0	0	((ride))	{ride}	{ride}
88	BOR009	283.36	285.867	2.507	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	ma e: m::h curiosità proprio	ma e: m::h curiosità proprio	ma e mh curiosità proprio
89	BOR009	286.526	289.557	3.031	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	1	5	avete sempre sognato di fare: (.) l'autista?	avete sempre sognato di fare: {P} l'autista?	avete sempre sognato di fare {P} l'autista?
90	BOI045	289.731	290.027	0.296	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	no	no	no
91	BOI045	290.254	291.031	0.777	True	0	0	0	0	0	0	False	False	False	False	True	92=0.369	0	1	0	0	((ride))	{ride}	{ride}
92	BOR009	290.662	292.043	1.381	True	0	0	0	0	0	0	False	False	False	False	True	91=0.369	0	1	0	0	((ride))	{ride}	{ride}
93	BOI045	292.362	294.89	2.528	True	0	0	0	0	0	0	False	False	False	False	True	94=0.394	0	1	0	4	no no no assolutamente ((ride))	no no no assolutamente {ride}	no no no assolutamente {ride}
94	BOI046	294.496	295.534	1.038	True	0	0	0	0	0	0	False	False	False	False	True	93=0.394,95=0.432	0	1	0	0	((ride))	{ride}	{ride}
95	BOR009	295.102	304.49	9.388	True	0	0	1	0	0	0	False	False	False	False	True	94=0.432	3	0	2	34	eh >infa~ io immag~ c(io)è non lo so< c'è chi: io ho parlato con un signore che mi ha detto che lui (.) ha lasciato il suo lavoro di prima (.) ai tempi perchè voleva: (.) voleva fare l'autista	eh >infa~ io immag~ c(io)è non lo so< c'è chi: io ho parlato con un signore che mi ha detto che lui {P} ha lasciato il suo lavoro di prima {P} ai tempi perchè voleva: {P} voleva fare l'autista	eh infa~ io immag~ cioè non lo so c'è chi io ho parlato con un signore che mi ha detto che lui {P} ha lasciato il suo lavoro di prima {P} ai tempi perché voleva {P} voleva fare l'autista
96	BOI046	304.743	310.765	6.022	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	27	x per lui sarà stato così per la mia esperienza personale è un lavoro che mi piace per carità io vengo da un altro tipo di lavoro	x per lui sarà stato così per la mia esperienza personale è un lavoro che mi piace per carità io vengo da un altro tipo di lavoro	x per lui sarà stato così per la mia esperienza personale è un lavoro che mi piace per carità io vengo da un altro tipo di lavoro
97	BOI046	311.134	315.119	3.985	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	10	ho fatto studi elettronici però ho fatto:: il pizzaiolo per vent'anni	ho fatto studi elettronici però ho fatto:: il pizzaiolo per vent'anni	ho fatto studi elettronici però ho fatto il pizzaiolo per vent'anni
98	BOI046	315.544	320.619	5.075	True	0	0	0	0	0	0	False	False	False	False	True	99=0.662,100+101=1.602	1	1	1	14	ho fatto [il giardiniere l']assicur~ °no no (.) no° questo è un luogo comune però eh ((ride))	ho fatto [il giardiniere l']assicur~ °no no {P} no° questo è un luogo comune però eh {ride}	ho fatto il giardiniere l'assicur~ no no {P} no questo è un luogo comune però eh {ride}
99	BOR009	315.813	316.475	0.662	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[da na:poli]	[da na:poli]	da napoli
100	BOR009	318.583	321.553	2.97	True	0	0	0	0	0	0	False	False	False	False	True	98+101=1.602,102+101=0.005	0	1	0	0	((ride))	{ride}	{ride}
101	BOI045	319.017	321.368	2.351	True	0	0	0	0	0	0	False	False	False	False	True	98+100=1.602,100+102=0.005	0	1	0	0	((ride))	{ride}	{ride}
102	BOI046	321.363	323.055	1.692	True	0	0	0	0	0	0	False	False	False	False	True	100+101=0.005	0	0	0	9	non è che è tutto sole pizza e mandolino	non è che è tutto sole pizza e mandolino	non è che è tutto sole pizza e mandolino
103	BOI046	323.055	324.45	1.395	True	0	0	0	0	0	0	False	False	False	False	True	104+105=1.260	0	1	0	0	((ride))	{ride}	{ride}
104	BOR009	323.139	324.411	1.272	True	0	0	0	0	0	0	False	False	False	False	True	103+105=1.260	0	1	0	0	((ride))	{ride}	{ride}
105	BOI045	323.139	324.399	1.26	True	0	0	0	0	0	0	False	False	False	False	True	103+104=1.260	0	1	0	0	((ride))	{ride}	{ride}
106	BOI046	324.45	325.332	0.882	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	comunque a parte gli scherzi	comunque a parte gli scherzi	comunque a parte gli scherzi
107	BOI046	325.596	329.058	3.462	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	12	e sono venuto per esigenze mie s~ mi so(n) dovuto trasferire a trentott'anni	e sono venuto per esigenze mie s~ mi so(n) dovuto trasferire a trentott'anni	e sono venuto per esigenze mie s~ mi son dovuto trasferire a trentott'anni
108	BOI046	329.178	334.789	5.611	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	18	>ho dovuto< ricominciare un lavoro (.) e ripartire da capo e venire qua fortunatamente mi hanno dato sta possibilità	>ho dovuto< ricominciare un lavoro {P} e ripartire da capo e venire qua fortunatamente mi hanno dato sta possibilità	ho dovuto ricominciare un lavoro {P} e ripartire da capo e venire qua fortunatamente mi hanno dato sta possibilità
109	BOI046	335.285	338.3	3.015	True	0	0	1	0	0	0	False	False	False	False	False	_	0	0	0	14	un po' per merito un po' per fortuna perchè ci vuole sempre son riuscito	un po' per merito un po' per fortuna perchè ci vuole sempre son riuscito	un po' per merito un po' per fortuna perché ci vuole sempre son riuscito
110	BOR009	338.83	344.165	5.335	True	0	0	1	0	0	0	False	False	False	False	False	_	2	0	2	12	ma quindi (.) ti sei trasferito perchè c'è stata questa occasio[ne di entr]are nei[::] (.) [nell'azienda]	ma quindi {P} ti sei trasferito perchè c'è stata questa occasio[ne di entr]are nei[::] {P} [nell'azienda]	ma quindi {P} ti sei trasferito perché c'è stata questa occasione di entrare nei {P} nell'azienda
111	BOI046	341.776	342.288	0.512	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[sì sì]	[sì sì]	sì sì
112	BOI046	342.777	343.154	0.377	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[sì sì]	[sì sì]	sì sì
