tu_id	speaker	start	end	duration	text
60	TO999	165.331	165.935	0.604	 okay,
61	TO999	166.686	170.011	3.325	 e quindi cosa deve avere per te una cucina: cioè [quali xx,]
62	TO083	169.251	170.046	0.795	 [la luce,]
63	TO999	170.435	170.876	0.441	 okay,
64	TO083	171.653	172.831	1.178	 e:: il bollitore,
65	TO083	173.405	174.966	1.561	 perché: mi sfondo di tisane.
66	TO083	175.898	177.610	1.712	 e:::h,
67	TO083	178.708	179.228	0.520	 basta.
68	TO999	180.978	181.633	0.655	 e {P} okay.
69	TO999	181.688	184.536	2.848	 quindi tu hai sempre vissuto a {nomepaese} ? non vivi a torino,
70	TO083	184.940	191.044	6.104	 no non è vero m:::h adesso a~ abito a torino solo c[he ho] cambiato tante case da studentessa quindi non ho un,
71	TO999	188.225	188.581	0.356	 [ah.]
72	TO999	191.143	195.221	4.078	 ah okay e parlami un po' delle case dove hai vissuto [xx xx xxnte.]
73	TO083	193.558	195.203	1.645	 [le case dove ho vissuto,]
74	TO083	195.258	195.805	0.547	 allora,
75	TO083	196.566	197.841	1.275	 e: il primo anno,
76	TO083	198.001	200.136	2.135	 a torino ho vissuto in casa,
77	TO083	200.783	205.820	5.037	 e::h co:n m:h mh eh due ragazze di cu[neo che] erano due universitarie sorelle,
78	TO999	203.766	204.280	0.514	 [mhmh,]
79	TO083	206.206	209.177	2.971	 loro erano le proprietarie della casa e mi affittavano una [camera].
80	TO999	208.708	209.185	0.477	 [mhmh,]
81	TO083	209.565	214.668	5.103	 la camera era già arredata con quadri di anne geddes abbastanza insopportabili.
82	TO083	215.038	216.200	1.162	 pero': io vabbè,
83	TO999	216.200	217.255	1.055	 ma chi è quella dei bambi[ni?]
84	TO083	217.105	218.165	1.060	 [s]ì quella dei bambini.
85	TO083	218.366	224.130	5.764	 era verde shocking co:n con=mh ste:: le mh questi bambini appesi,
86	TO083	224.413	226.666	2.253	 cioè cose che io non avrei scelto mai nella vita.
87	TO999	226.805	227.048	0.243	 beh,
88	TO083	227.391	231.833	4.442	 pero' pero' mi ero affezionata poi anche perché era la mia prima camera da universitaria quindi,
89	TO083	231.850	233.008	1.158	 mi emozionava l' idea.
90	TO083	233.405	236.418	3.013	 un materasso <scomossimo> una roba proprio illegale.
91	TO083	237.351	238.726	1.375	 e::h=mh,
92	TO083	238.903	244.636	5.733	 ma quella casa in realtà ero stat~ cioè benissimo anche perché era il primo anno ero molto timida poi ripensandoci,
93	TO083	244.990	248.755	3.765	 per essere che comunque pagavo l' affitto della camera mi sentivo molto ospite.
94	TO083	249.026	251.176	2.150	 cioè: quando invitavo il fidanzato,
95	TO083	251.670	259.380	7.710	 mi veniva sempre da chiedere il permesso quasi come se lo chiedessi a dei genitori per il fatto che loro [erano] le proprietarie poi erano sorelle quindi mi sentivo sempre un po'
96	TO999	255.911	256.351	0.440	 [certo.]
97	TO083	259.839	261.276	1.437	 poi invece il secondo anno,
98	TO083	261.743	264.276	2.533	 ero andata a vivere in una casa che ho amato alla follia,
99	TO083	264.711	265.473	0.762	 in corso regina,
100	TO083	266.360	268.510	2.150	 co:n la sorella del mio ex fidanzato.
101	TO999	268.979	269.498	0.519	 okay.
102	TO083	269.868	270.750	0.882	 eravamo in due,
103	TO083	271.610	272.500	0.890	 c' e:ra:,
104	TO083	272.698	274.781	2.083	 e::h=mh la sala,
105	TO083	275.068	277.833	2.765	 poi camera mia tutta gialla bella molto allegra.
106	TO083	278.103	280.046	1.943	 molto luminosa con un piccolo balcone,
107	TO083	280.850	282.621	1.771	 e poi la cosa che mi piaceva più di tutti,
108	TO083	282.678	283.345	0.667	 la sala,
109	TO083	283.488	285.991	2.503	 aveva un balconcino che dava sul cortile interno,
110	TO999	286.250	286.591	0.341	 mhmh,
111	TO083	286.763	290.363	3.600	 e io sono un' appassionata dei cortili interni perché mi piace::,
112	TO083	291.061	294.255	3.194	 quel sapore tipo di italianità che c' è quando senti:,
113	TO083	294.480	297.333	2.853	 i rumore dei piatti all' ora di pranzo dalle altre case,
114	TO083	297.571	300.540	2.969	 o magari senti la gente che litiga mi mette:,
115	TO999	299.598	300.540	0.942	 {ride}
116	TO083	300.905	302.085	1.180	 non so mi piace.
117	TO999	302.085	302.965	0.880	 certo certo.
118	TO083	303.168	310.516	7.348	 e::h e noi mangiavamo spesso d' estate su quel balconcino che in realtà era brutto e oggettivamente pero' io ero affezionata molto.
119	TO083	311.400	314.144	2.744	 e poi adesso abito da mia nonna è molto triste la cosa.
120	TO999	314.800	315.458	0.658	 capito.
121	TO999	315.583	317.735	2.152	 e sei lì tutt[o:::,]
122	TO083	316.970	320.911	3.941	 [tutto perfetto] tutto ordinatissimo tutto bello pero' no non [mi sento a casa.]
123	TO999	319.955	321.088	1.133	 [hai una tua stanza l]ì?
124	TO083	321.560	324.643	3.083	 sì ho una mia stanza pero' non la sento camera mia cioè,
125	TO083	324.811	328.608	3.797	 è un posto dove posso dormire nessuno mi disturba pero' no:n non è camera mia.
126	TO999	328.741	330.811	2.070	 certo. e il posto più bello in cui hai vissuto?
127	TO083	332.821	338.268	5.447	 e::h la casa:: dove abitavo: coi miei genitori quando eravamo::: prima del divorzio.
128	TO083	339.278	340.770	1.492	 era un appartamento,
129	TO083	340.956	342.128	1.172	 all' ultimo piano,
130	TO083	342.385	344.395	2.010	 a {nomepaese} con una vista bellissima.
131	TO083	344.445	346.005	1.560	 la cosa più bella era la vista.
132	TO083	346.335	348.280	1.945	 su tutta la città si vedeva il mare,
133	TO083	348.583	354.140	5.557	 poi essendo che {nomepaese} è in collina da quasi tutte le case in realtà c' è una bella vista ma quella in particolare c' era un terrazzo,
134	TO083	354.394	356.556	2.162	 mangiavamo sempre sul terrazzo:,
135	TO083	357.063	358.286	1.223	 e mi ricordo proprio,
136	TO083	359.150	361.918	2.768	 la <luce> di quella casa le atmosfere per~ mh,
137	TO999	361.980	363.118	1.138	 (ti) [piace la liguria?]
138	TO083	362.066	363.101	1.035	 [in realtà: sì.]
139	TO083	363.570	364.180	0.610	 tanto.
140	TO083	364.606	365.023	0.417	 tanto.
141	TO083	365.446	366.622	1.176	 non mi piacciono i liguri,
142	TO083	366.670	367.641	0.971	 pero' mi piace la liguria.
143	TO999	367.918	368.810	0.892	 perché non ti piacciono?
144	TO083	369.273	374.305	5.032	 perché sono <chiusi> gli imperiesi son tremendi sono chiusi è quasi impossibile fare amicizia oppure,
145	TO083	374.665	377.266	2.601	 immettere qualcuno di nuovo nel gruppo.
146	TO083	378.331	379.411	1.080	 e:h=mh,
147	TO083	379.565	381.311	1.746	 hanno l' accento più noioso del mondo,
148	TO999	381.410	382.818	1.408	 {ride} perché?
149	TO083	383.355	384.481	1.126	 sono di {nomepaese} .
150	TO083	385.050	386.344	1.294	 na na na na na.
151	TO083	386.546	394.691	8.145	 poi cioè uno puo' essere anche il più brillante battutista della storia ma se ha l' accento ligure non puo' funziona~ cioè l' accento imperiese: sì smorza tutto.
152	TO083	394.950	396.300	1.350	 tutto calante proprio.
153	TO083	397.165	399.106	1.941	 e::h=m::h,
154	TO083	399.506	402.441	2.935	 pero' pero' la liguria è <magnifica> cioè propr~ forse,
155	TO083	402.583	404.188	1.605	 è una delle regioni più belle d' italia.
156	TO083	404.271	405.018	0.747	 dopo la sicilia.
157	TO083	406.530	406.971	0.441	 °per me.°
158	TO999	407.181	407.690	0.509	 okay.
159	TO999	408.021	415.238	7.217	 senti ma e::: invece parlando di:: torino quindi hai vissuto in un po' di zone:: diverse. qual è quella che ti è piaciuta di più?
160	TO083	415.350	417.660	2.310	 beh la zona vanchiglia dell' università.
161	TO999	417.826	418.181	0.355	 mhmh,
162	TO083	418.181	423.106	4.925	 se potessi comprarmi una casa a torino me la comprerei in vanchiglia senza dubbio {P} perché,
163	TO083	423.765	429.343	5.578	 e::h è vicinissima al centro pero' i prezzi delle cose tipo supermercati:: cibo eccetera,
164	TO083	429.665	430.635	0.970	 non è esagerato.
165	TO083	431.383	433.622	2.239	 è allegra: son tutti giovani,
166	TO083	433.825	435.240	1.415	 comodissima coi mezzi.
167	TO083	435.665	436.411	0.746	 meravigliosa.
168	TO999	436.881	439.783	2.902	 ti piace il fatto che sia una zona <viva:> dove c' è movimen[to,]
169	TO083	439.631	445.800	6.169	 [s]ì a~ io adoro torino per questo motivo anche perché appunto venendo da: la liguria in cui l' età media è novantacinque anni,
170	TO083	446.211	448.028	1.817	 e:h cioè qua è un' altra cosa.
171	TO083	448.673	452.203	3.530	 cioè all' inizio ero proprio emozionata cioè andare in giro {P} e vedere dei giovani,
172	TO083	452.681	453.253	0.572	 proprio,
173	TO999	453.865	455.611	1.746	 {ride}
174	TO083	453.866	459.741	5.875	 mh mi emoziona~ cioè non ero abitua~ era sconcer~ cioè {P} a {nomepaese} davvero se tu prendi l' autobus e trovi uno della tua età,
175	TO083	459.935	462.728	2.793	 lo guardi come se fosse una bestia rara tipo hey,
176	TO083	463.163	464.621	1.458	 anche tu su questo pianeta.
177	TO999	464.956	465.455	0.499	 okay,
178	TO999	466.191	469.876	3.685	 quindi vi conoscete tutti diciamo quell[i più o meno della stessa: generazione.]
179	TO083	468.033	471.633	3.600	 [sì abbastanza sì abbastanza POI i]n realtà tipo della mia generazione adesso,
180	TO083	472.010	475.186	3.176	 non ce n' è a {nomepaese} perché sono tutti sparsi all' università::,
181	TO083	475.611	478.758	3.147	 o: comunque a cercare lavoro da altre parti mediamente quindi,
182	TO083	479.026	482.408	3.382	 e:h a {nomepaese} non c' è la popolazione dai diciotto ai venticinque.
183	TO999	483.796	484.410	0.614	 ho capito.
184	TO999	484.905	488.426	3.521	 e:h l' episodio più buffo che ti è capitato da quando vivi a torino?
185	TO999	488.965	491.411	2.446	 più buffo [più strano più]::,
186	TO083	489.720	490.860	1.140	 [o santo cielo.]
187	TO083	491.985	493.558	1.573	 questa è una domanda difficile.
188	TO999	494.866	499.448	4.582	 ma un episodio che ti è rimasto impresso una storia un po': bella diciamo xx,
189	TO999	499.945	501.126	1.181	 che ti ricordi. {ride}
190	TO083	501.255	504.083	2.828	 o:ddio mi cogli impreparata aspetta.
191	TO083	504.335	505.516	1.181	 e::h,
192	TO083	507.823	509.345	1.522	 oddio non l~ non lo so.
193	TO083	509.783	510.677	0.894	 difficile eh,
194	TO999	510.776	512.991	2.215	 quindi non ti succede niente [di particolare,]
195	TO083	512.366	515.820	3.454	 [NO NO m]e ne succede in continuazione per non adesso detto così.
196	TO083	516.525	517.477	0.952	 e:h=mh,
197	TO999	519.544	522.436	2.892	 non so situazioni di coinquilinaggio un po'::,
198	TO999	523.033	524.566	1.533	 così st[rane imbarazz~]
199	TO083	523.620	528.161	4.541	 [a:::h sì]:: o:h sì no ma non è un episodio buffo è stata una tragedia per me.
200	TO083	528.676	529.213	0.537	 allora,
201	TO083	529.951	533.333	3.382	 la mia:: ex coinquilina che era la fidanzata del mio,
202	TO083	533.961	534.761	0.800	 ex fidanzato,
203	TO083	534.905	537.436	2.531	 no no:n la fidanzata la sorella del mio ex fidanzato.
204	TO999	538.016	540.966	2.950	 la tua ex coinquilina che era la sorella del tuo ex fidanzato.
205	TO083	540.990	541.410	0.420	 okay.
206	TO083	543.063	545.073	2.010	 era una super appassionata di gatti.
207	TO999	545.176	545.461	0.285	 mh.
208	TO083	546.295	548.866	2.571	 quando siamo andate a vivere insieme io le ho detto guarda,
209	TO083	548.935	551.608	2.673	 io posso veni~ guarda giuli posso venire ad abitare con te,
210	TO083	551.991	555.677	3.686	 pero' io ho paura dei gatti quindi niente gatti se tu vuoi gatti,
211	TO083	555.975	558.923	2.948	 andiamo:::=mh per strade diverse.
212	TO083	559.015	560.788	1.773	 e ha detto no okay niente gatti.
213	TO083	560.870	562.845	1.975	 va bene. siamo andate a vivere insieme,
214	TO083	563.785	569.656	5.871	 un anno viviamo insieme tutto bene il secondo anno lei decide no: non me ne frega niente voglio prendere un gatto. io non ero d' accordo,
215	TO083	569.996	571.500	1.504	 ma lei prende comunque sto gatto.
216	TO083	571.618	571.988	0.370	 e già,
217	TO083	572.468	575.930	3.462	 mi scocciava perché all' epoca avevo paura poi mi è passata pero'::,
218	TO083	576.165	579.455	3.290	 ho avuto una pessima educazione: animalista quindi,
219	TO083	579.631	580.300	0.669	 xx xx,
220	TO083	580.886	581.888	1.002	 ero imbarazzata.
221	TO083	582.695	583.908	1.213	 e:h=m::h,
222	TO083	584.033	584.953	0.920	 niente insomma,
223	TO083	585.858	587.605	1.747	 e:: ha preso sto gatto,
224	TO083	588.063	591.801	3.738	 all' inizio ero diffidente poi in realtà era un cucciolino mi ci sono anche affezionata,
225	TO083	592.431	595.733	3.302	 e {P} visto che lei aveva il fidanzato a milano ai tempi,
226	TO083	595.973	599.058	3.085	 il weekend andava via e un weekend mi chiede se me lo puo' lasciare.
227	TO083	600.390	601.411	1.021	 io le dico di sì,
228	TO083	601.755	606.396	4.641	 tra l' altro {P} ero terrorizzata perché non avevo mai accurdito un animale manco un pesce rosso.
229	TO083	606.906	614.711	7.805	 mia madre l' unico animale che ha mai avuto nella sua vita è stato un pesce rosso è riuscita a bollirlo nell' acqua bollente pre~ per sbaglio mentre gli cambiava l' acqua,
230	TO999	614.810	615.177	0.367	 {ride}
231	TO083	615.276	616.958	1.682	 forse lì sarebbe l' episodio buffo.
232	TO999	617.346	618.266	0.920	 {ride}
233	TO083	617.931	619.655	1.724	 buffo anche lì vabbè. {ride}
234	TO083	620.280	622.471	2.191	 e::h=mh insomma avevamo sto gatto,
235	TO083	623.481	623.923	0.442	 e:,
236	TO083	624.206	626.576	2.370	 e e lei è andata via il weekend mi lascia il gatto,
237	TO083	627.740	632.976	5.236	 io: {P} lo curo con tutte le attenzioni di cui ero capace >ero terrorizzata cioè< come se fosse un neonato,
238	TO083	633.201	634.581	1.380	 e a un certo punto il gatto,
239	TO083	634.936	637.238	2.302	 fa la pipì <sul {P} divano>.
240	TO083	638.555	639.321	0.766	 allora io,
241	TO083	639.915	644.120	4.205	 apro~ era sera era notte apro:: cioè smonto tutto il divano,
242	TO083	644.476	650.422	5.946	 stendo la roba:: m::h i teli del divano sul terrazzo della::,
243	TO083	650.686	653.236	2.550	 della cucina che dava sul cortile interno,
244	TO083	655.093	658.088	2.995	 torno in sala e non trovo più il gatto.
245	TO083	659.121	661.916	2.795	 allora mi viene il dubbio di aver lasciato socchiusa,
246	TO083	662.281	664.675	2.394	 ah io avevo lasciato aperta,
247	TO083	664.950	668.001	3.051	 la mia fine~ la mia porta finestra che da~ di camera mia,
248	TO083	668.300	670.435	2.135	 e avevo il dubbio di aver lasciato socchiusa,
249	TO083	670.825	673.106	2.281	 la: {P} <porta> di camera mia,
250	TO083	673.251	679.711	6.460	 e quindi che questo gatto fosse uscito dalla finestra era una roba impossibile conoscendo gli ani~ cioè {P} chiunque abbia un gatto ti [dice] che è impossibile.
251	TO999	678.901	679.186	0.285	 [mh,]
252	TO083	679.970	681.616	1.646	 pero' a me mi è venuta questa paranoia.
253	TO083	682.011	688.611	6.600	 perché mi sono messa a cercare sto gatto in casa lo cerco tra l' altro ho invitato anche una mia amica per cercarlo tipo pe::r,
254	TO083	689.244	690.022	0.778	 tre ore,
255	TO083	690.535	691.355	0.820	 ovunque.
256	TO083	691.421	694.868	3.447	 non lo trovo disperata chiamo giulia giulia il gatto è scappato,
257	TO083	695.086	699.485	4.399	 io ti giuro >l' ho l' ho curato da morire mi sono stata soltando un secondo per stendere la roba,<
258	TO083	699.738	706.266	6.528	 perché aveva fatto la pipì sul divano cioè io te lo giuro: non lo so cioè io ho lasciato soltanto socchiusa un attimo la porta ma era,
259	TO083	706.486	709.188	2.702	 cioè {P} in realtà non avevo niente di:::,
260	TO083	709.630	712.068	2.438	 di pericoloso pero' mi ero stressata da pazzi.
261	TO083	712.725	716.213	3.488	 giulia <reagisce {P} come {P} una furia>.
262	TO083	716.768	719.311	2.543	 mi arriva un messaggio dalla madre di giulia
263	TO083	719.786	720.738	0.952	 che dice,
264	TO083	721.188	722.120	0.932	 e:h=mh,
265	TO083	722.548	725.448	2.900	 aspetta adesso non mi ricordo testuali parole una roba tipo:,
266	TO083	725.836	726.751	0.915	 e:h=mh,
267	TO083	727.290	728.136	0.846	 [brutta str~]
268	TO999	727.322	728.923	1.601	 [che era la madre del tuo] fidan[zato?]
269	TO083	728.533	728.900	0.367	 [sì.]
270	TO083	729.490	731.688	2.198	 brutta schifosa irresponsabile,
271	TO083	732.471	734.105	1.634	 poveri {P} i bambini.
272	TO083	734.410	739.710	5.300	 i~ si~ intendendo gli eventuali flgli che avremmo avuto <io e suo figlio> o io e qualcun altro.
273	TO083	739.953	741.693	1.740	 io crisi totale eccetera,
274	TO083	742.248	750.726	8.478	 poi ass~ faccio tutti i biglietti:: e:h=a:ppendo per tutta torino i biglietti con scrit~ e::h perso un gattino di nome dori bla bla bla,
275	TO083	751.480	752.548	1.068	 e poi alla fine,
276	TO083	753.823	758.025	4.202	 è venuto eh il mio: {P} quello che allora era già il mio ex fidanzato,
277	TO999	758.511	759.910	1.399	 ma perché [xxx,]
278	TO083	759.265	760.495	1.230	 [che pero' eravam] rimasti amici.
279	TO999	761.016	761.244	0.228	 okay.
280	TO083	761.255	761.422	0.167	 sì.
281	TO083	762.001	763.675	1.674	 è venuto anche lui a cercarlo in casa,
282	TO083	764.136	766.586	2.450	 e lo trova <nascosto> dentro il divano,
283	TO083	766.905	772.944	6.039	 perché mentre avevo smontato le robe lui il gatto si era <infilato> all' interno del divano in qualche anfratto buio,
284	TO083	773.393	778.466	5.073	 e nonostante io l' avessi chiamato per ore ore ore avessi(mo) assoldato una squadra di ricerca,
285	TO083	778.711	782.183	3.472	 non >(l' avevam)< trovato. e quindi poi: è stato una storia a lieto fine.
286	TO083	782.550	789.611	7.061	 pero':: cioè: mh e~ era stato una trage~ sì cioè nel senso non mi son mai sentita così accusata {P} giulia che mi dice,
287	TO083	789.658	796.976	7.318	 e::h=muori per me sei morta e:h=m:::h=insulti alla famiglia cioè delle robe:,
288	TO083	797.711	798.966	1.255	 pazzesche qu[esto è,]
289	TO999	798.516	800.155	1.639	 [non siete] più rimasti amici poi?
290	TO083	800.250	804.185	3.935	 allora per mesi no. cioè nel senso sono stati dei mesi di grossa tensione in casa.
291	TO083	804.788	807.780	2.992	 di: cioè: no all' inizio litigio non ci siam più parlate,
292	TO083	808.103	811.533	3.430	 e poi: abbiamo fatto pace e poi in realtà adesso siamo in buoni rapporti.
293	TO083	811.771	812.379	0.608	 {ride}
294	TO999	811.771	812.379	0.608	 {ride}
295	TO083	812.853	816.771	3.918	 pero': {P} mh il terr~ mi ricordo il terrore di quella notte proprio.
296	TO999	817.175	818.108	0.933	 {ride}
297	TO999	819.060	822.377	3.317	 cioè vabbè rido perché è finita bene pero' cazzo immagino,
298	TO083	822.383	823.958	1.575	 se no finivo impiccata.
299	TO083	824.323	826.536	2.213	 penzolante in un albero di cors[o regina.]
300	TO999	825.850	828.000	2.150	 [(no) io avrei fa]tto le valigie e me ne sarei andata.
301	TO083	827.888	828.622	0.734	 {ride}
302	TO999	828.716	829.733	1.017	 (a parte che),
303	TO083	829.821	832.655	2.834	 eh no ma la casa era quella che adoravo: che ho detto.
304	TO999	832.655	833.188	0.533	 cert[o.]
305	TO083	833.076	834.096	1.020	 [co]n la camera gialla.
306	TO999	835.150	837.544	2.394	 io l' unica volta che ho vissuto con un animale ero,
307	TO999	837.665	840.077	2.412	 a gibilterra cioè anzi in [spagna.]
308	TO083	839.416	840.353	0.937	 [era una sci]mmia,
309	TO999	840.805	847.670	6.865	 no no no era un cagnolino grosso così che puzzava come un camion dell' immondizia {P} ma piccolo così puzzava da schifo proprio.
310	TO083	843.956	845.181	1.225	 {ride}
311	TO999	847.955	853.311	5.356	 e::: niente <praticamente:> era l' unica compagnia del mio coinquilino che era un signore di,
312	TO999	853.701	855.600	1.899	 avrà avuto quarant' anni all' epoca.
313	TO999	856.393	857.455	1.062	 e:: e niente.
314	TO999	857.600	867.865	10.265	 e questo la domenica esce e mi fa: senti te lo lascio perché lo chiudeva sempre in balcone quando lui non c' era poi dopo un po' che ci siamo conosciuti mi fa senti te lo lascio:::,
315	TO999	868.031	870.355	2.324	 te lo lascio qua storia simile alla tua anch' io:,
316	TO999	871.026	873.638	2.612	 quando ero più giovane avevo proprio paura de: dei cani.
317	TO999	874.333	875.858	1.525	 °adesso è tranquilla la cosa.°
318	TO999	876.741	878.000	1.259	 fa te lo lascio qua,
319	TO999	878.280	883.785	5.505	 basta che::: niente quando tu vuoi andare via la chiudi in balcone gli dici UP e lei sale su.
320	TO999	884.535	885.545	1.010	 la chiamo,
321	TO999	886.455	888.033	1.578	 manco per il cazzo si muove questa.
322	TO083	888.131	888.525	0.394	 {ride}
323	TO999	888.975	893.822	4.847	 {ride} allora l' ho dovuta fregare in qualche modo, {ride}
324	TO999	895.101	897.533	2.432	 pero' sì è un casino se non sai vivere con gli anim[ali.]
325	TO083	897.231	898.980	1.749	 [eh no] quando non sei abituato:,
326	TO999	900.216	903.492	3.276	 quindi non ne prenderesti in una ipo[tetic]a tua casa.
327	TO083	902.525	902.875	0.350	 [no.]
328	TO083	903.591	904.050	0.459	 mai.
329	TO083	904.630	910.288	5.658	 mai io tra l' altro ho anche paura dei cani il mio fidanzato vorrebbe u:n canelupo cecoslovacco pensa un po'.
330	TO999	911.158	914.130	2.972	 (pero' occhio che) costa il lupo cecoslovacco. {ride}
331	TO083	914.276	914.895	0.619	 sì infatti.
332	TO083	915.040	916.506	1.466	 per fortuna costa.
333	TO083	917.076	919.078	2.002	 poi non abbiamo una casa °ancora quindi,°
334	TO999	919.253	922.178	2.925	 e::: avete progetto di andare a convivere?
335	TO083	922.346	922.631	0.285	 sì.
336	TO083	922.975	923.288	0.313	 [l' an~]
337	TO999	922.975	924.030	1.055	 [dov]e vorreste andare?
338	TO083	924.573	926.345	1.772	 e bah adesso lui abita a genova,
339	TO083	926.845	929.395	2.550	 non so magari l' anno prossimo io vado a vivere a genova.
340	TO083	929.848	931.475	1.627	 se no in futuro solo che:,
341	TO083	932.156	934.988	2.832	 col lavoro che vorremmo fare non c' è mai una stabilità quindi,
342	TO999	935.411	939.000	3.589	 la stabilità non c' è mai punto. [{ride} è una cosa che a un certo punto,]
343	TO083	937.220	939.430	2.210	 [sì pero' insomma in particola]:re,
344	TO999	939.825	943.660	3.835	 no no sì sì pero' cioè {P} se ti senti di farlo lo fai e basta.
345	TO083	943.985	947.556	3.571	 no comunque sì vorremmo andare a convivere: eh e da una parte o dall' altra.
346	TO999	947.856	950.030	2.174	 che bella cosa ma state già cercando?
347	TO083	950.713	956.711	5.998	 m::h no. no pero':: adesso lui sta in una casa a genova dove abita <in una:> camera con un matrimoniale quindi,
348	TO083	956.956	959.578	2.622	 se andassi a vivere l' anno prossimo andrei vivere:,
349	TO083	960.110	960.575	0.465	 da lui.
350	TO999	961.641	962.838	1.197	 ma lui è anche attore?
351	TO083	963.605	963.873	0.268	 sì.
352	TO083	965.288	966.343	1.055	 più di me. {ride}
353	TO999	966.601	967.650	1.049	 più di te perché?
354	TO083	967.866	968.733	0.867	 chè è più bravo.
355	TO999	969.846	973.166	3.320	 m:h non lo so {ride} cioè anche se io lo sapessi non lo saprei dire quindi,
